"taxon","period","emmean","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset"
"07b1149ccb783782ec4d38ecb1496c21","Base",-7.60341835973896,0.209375347954019,132,-8.01758349305426,-7.18925322642365,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh"
"07b1149ccb783782ec4d38ecb1496c21","VEG",-7.96606710024781,0.209375347954019,132,-8.38023223356311,-7.5519019669325,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh"
"07b1149ccb783782ec4d38ecb1496c21","WO1",-7.96606710024781,0.209375347954019,132,-8.38023223356311,-7.5519019669325,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Fresh"
"21f043fee5f7a162f8db10b08df45e9f","Base",-7.96606710024773,0.209431134288312,132,-8.3803425844463,-7.55179161604917,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh"
"21f043fee5f7a162f8db10b08df45e9f","VEG",-7.60332173497367,0.209431134288312,132.000000000001,-8.01759721917223,-7.18904625077511,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh"
"21f043fee5f7a162f8db10b08df45e9f","WO1",-7.96606710024781,0.209431134288312,132,-8.38034258444637,-7.55179161604924,"f__Peptococcaceae","g__Peptococcus","f__Peptococcaceae_g__Peptococcus_21f043fee5f7a162f8db10b08df45e9f","Fresh"
"38c12f1a7ba71962a0ab012df0f7d005","Base",-7.61449478071876,0.202980373319671,132.000000000001,-8.01601002211573,-7.2129795393218,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh"
"38c12f1a7ba71962a0ab012df0f7d005","VEG",-7.96606710024781,0.202980373319671,132,-8.36758234164477,-7.56455185885084,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh"
"38c12f1a7ba71962a0ab012df0f7d005","WO1",-7.96606710024781,0.202980373319671,132,-8.36758234164477,-7.56455185885084,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Fresh"
"40d7269d78874c56c8621deb61732635","Base",-7.5126430151313,0.261784517599028,132.000000000002,-8.03047866622761,-6.994807364035,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh"
"40d7269d78874c56c8621deb61732635","VEG",-7.96606710024781,0.261784517599028,132.000000000001,-8.48390275134411,-7.44823144915151,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh"
"40d7269d78874c56c8621deb61732635","WO1",-7.96606710024781,0.261784517599028,132,-8.48390275134411,-7.44823144915151,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fresh"
"44652da714bef4c2fb956433cd678f60","Base",-7.96606710024773,0.207565308753731,132.000000000001,-8.37665179711711,-7.55548240337835,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_44652da714bef4c2fb956433cd678f60","Fresh"
"44652da714bef4c2fb956433cd678f60","VEG",-7.60655343959762,0.207565308753731,132.000000000001,-8.017138136467,-7.19596874272825,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_44652da714bef4c2fb956433cd678f60","Fresh"
"44652da714bef4c2fb956433cd678f60","WO1",-7.96606710024781,0.207565308753731,132,-8.37665179711719,-7.55548240337843,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_44652da714bef4c2fb956433cd678f60","Fresh"
"51fca4bbd97953662145c59b770d770c","Base",-7.96606710024773,0.194861165665279,132.000000000001,-8.3515217463862,-7.58061245410926,"f__Bacteroidaceae","g__Bacteroides","f__Bacteroidaceae_g__Bacteroides_51fca4bbd97953662145c59b770d770c","Fresh"
"51fca4bbd97953662145c59b770d770c","VEG",-7.62855766089345,0.194861165665279,132,-8.01401230703192,-7.24310301475498,"f__Bacteroidaceae","g__Bacteroides","f__Bacteroidaceae_g__Bacteroides_51fca4bbd97953662145c59b770d770c","Fresh"
"51fca4bbd97953662145c59b770d770c","WO1",-7.96606710024781,0.194861165665279,132,-8.35152174638628,-7.58061245410934,"f__Bacteroidaceae","g__Bacteroides","f__Bacteroidaceae_g__Bacteroides_51fca4bbd97953662145c59b770d770c","Fresh"
"6e70ef8ed1c256565b0a232524adbcd8","Base",-7.96606710024773,0.242595842472972,131.999999999999,-8.44594565529912,-7.48618854519634,"f__Lachnospiraceae","g__Eisenbergiella","f__Lachnospiraceae_g__Eisenbergiella_6e70ef8ed1c256565b0a232524adbcd8","Fresh"
"6e70ef8ed1c256565b0a232524adbcd8","VEG",-7.54587877537964,0.242595842472972,132,-8.02575733043104,-7.06600022032825,"f__Lachnospiraceae","g__Eisenbergiella","f__Lachnospiraceae_g__Eisenbergiella_6e70ef8ed1c256565b0a232524adbcd8","Fresh"
"6e70ef8ed1c256565b0a232524adbcd8","WO1",-7.96606710024781,0.242595842472972,132,-8.4459456552992,-7.48618854519642,"f__Lachnospiraceae","g__Eisenbergiella","f__Lachnospiraceae_g__Eisenbergiella_6e70ef8ed1c256565b0a232524adbcd8","Fresh"
"6eca0402916607c97828c2272ea598ac","Base",-7.64322635461958,0.186392191393795,131.999999999999,-8.01192853255935,-7.27452417667982,"f__Bifidobacteriaceae","g__Bifidobacterium","f__Bifidobacteriaceae_g__Bifidobacterium_6eca0402916607c97828c2272ea598ac","Fresh"
"6eca0402916607c97828c2272ea598ac","VEG",-7.96606710024781,0.186392191393795,132,-8.33476927818757,-7.59736492230804,"f__Bifidobacteriaceae","g__Bifidobacterium","f__Bifidobacteriaceae_g__Bifidobacterium_6eca0402916607c97828c2272ea598ac","Fresh"
"6eca0402916607c97828c2272ea598ac","WO1",-7.96606710024781,0.186392191393795,132,-8.33476927818757,-7.59736492230804,"f__Bifidobacteriaceae","g__Bifidobacterium","f__Bifidobacteriaceae_g__Bifidobacterium_6eca0402916607c97828c2272ea598ac","Fresh"
"836ec409e25bd5fd25225475280e8bc3","Base",-7.37334970720889,0.313821571171531,131.999999999999,-7.9941197937141,-6.75257962070367,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_836ec409e25bd5fd25225475280e8bc3","Fresh"
"836ec409e25bd5fd25225475280e8bc3","VEG",-7.96606710024781,0.313821571171531,132,-8.58683718675302,-7.3452970137426,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_836ec409e25bd5fd25225475280e8bc3","Fresh"
"836ec409e25bd5fd25225475280e8bc3","WO1",-7.46890961277991,0.313821571171531,132,-8.08967969928512,-6.8481395262747,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_836ec409e25bd5fd25225475280e8bc3","Fresh"
"cf450c6378dfd42671a15071f6e36085","Base",-7.96606710024773,0.202444350522214,132.000000000002,-8.3665220355698,-7.56561216492566,"f__Ruminococcaceae","g__UCG-001","f__Ruminococcaceae_g__UCG-001_cf450c6378dfd42671a15071f6e36085","Fresh"
"cf450c6378dfd42671a15071f6e36085","VEG",-7.61542319943805,0.202444350522214,132,-8.01587813476012,-7.21496826411598,"f__Ruminococcaceae","g__UCG-001","f__Ruminococcaceae_g__UCG-001_cf450c6378dfd42671a15071f6e36085","Fresh"
"cf450c6378dfd42671a15071f6e36085","WO1",-7.96606710024781,0.202444350522214,132,-8.36652203556988,-7.56561216492574,"f__Ruminococcaceae","g__UCG-001","f__Ruminococcaceae_g__UCG-001_cf450c6378dfd42671a15071f6e36085","Fresh"
"40d7269d78874c56c8621deb61732635","Base",-7.4852356236546,0.248826302949144,131.999999999998,-7.97743864535856,-6.99303260195063,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fermented"
"40d7269d78874c56c8621deb61732635","FERM",-7.91621542262203,0.248826302949145,132.000000000001,-8.408418444326,-7.42401240091807,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fermented"
"40d7269d78874c56c8621deb61732635","WO2",-7.91621542262203,0.248826302949145,132.000000000001,-8.408418444326,-7.42401240091807,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fermented"
"42d0fe0faa65739030e8eb3862ea04ea","Base",-7.54888908835824,0.212075957967644,131.999999999999,-7.96839629521399,-7.1293818815025,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_42d0fe0faa65739030e8eb3862ea04ea","Fermented"
"42d0fe0faa65739030e8eb3862ea04ea","FERM",-7.91621542262203,0.212075957967644,132,-8.33572262947778,-7.49670821576629,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_42d0fe0faa65739030e8eb3862ea04ea","Fermented"
"42d0fe0faa65739030e8eb3862ea04ea","WO2",-7.91621542262203,0.212075957967644,132,-8.33572262947778,-7.49670821576629,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_42d0fe0faa65739030e8eb3862ea04ea","Fermented"
"45ee5b81bf88a9fc2733d1252dc3d57b","Base",-7.587114057211,0.190006761910739,132.000000000002,-7.96296621290439,-7.21126190151761,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_45ee5b81bf88a9fc2733d1252dc3d57b","Fermented"
"45ee5b81bf88a9fc2733d1252dc3d57b","FERM",-7.91621542262203,0.190006761910739,132,-8.29206757831542,-7.54036326692865,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_45ee5b81bf88a9fc2733d1252dc3d57b","Fermented"
"45ee5b81bf88a9fc2733d1252dc3d57b","WO2",-7.91621542262203,0.190006761910739,132,-8.29206757831542,-7.54036326692865,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_45ee5b81bf88a9fc2733d1252dc3d57b","Fermented"
"4b4bbd91857cd3f701e533d597d9f3d1","Base",-7.57444514100473,0.309013489817397,113.109832609811,-8.18665016430354,-6.96224011770591,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_4b4bbd91857cd3f701e533d597d9f3d1","Fermented"
"4b4bbd91857cd3f701e533d597d9f3d1","FERM",-7.91621542262202,0.309013489817397,113.109832609811,-8.52842044592083,-7.30401039932321,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_4b4bbd91857cd3f701e533d597d9f3d1","Fermented"
"4b4bbd91857cd3f701e533d597d9f3d1","WO2",-7.33318550165216,0.309013489817397,113.109832609811,-7.94539052495098,-6.72098047835335,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_4b4bbd91857cd3f701e533d597d9f3d1","Fermented"
"5205354e82ced48cac3af4240a990f17","Base",-7.59006195239409,0.188304793833236,132.000000000001,-7.96254744700438,-7.21757645778381,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_5205354e82ced48cac3af4240a990f17","Fermented"
"5205354e82ced48cac3af4240a990f17","FERM",-7.91621542262203,0.188304793833236,132,-8.28870091723232,-7.54372992801175,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_5205354e82ced48cac3af4240a990f17","Fermented"
"5205354e82ced48cac3af4240a990f17","WO2",-7.91621542262203,0.188304793833236,132,-8.28870091723232,-7.54372992801175,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_5205354e82ced48cac3af4240a990f17","Fermented"
"56b61b7a91af3ead8aa36a4cf61724f9","Base",-6.73087770244243,0.44957257400941,131.519789078714,-7.6202067293798,-5.84154867550506,"f__Erysipelatoclostridiaceae","g__Coprobacillus","f__Erysipelatoclostridiaceae_g__Coprobacillus_56b61b7a91af3ead8aa36a4cf61724f9","Fermented"
"56b61b7a91af3ead8aa36a4cf61724f9","FERM",-7.91621542262203,0.44957257400941,131.519789078715,-8.80554444955941,-7.02688639568466,"f__Erysipelatoclostridiaceae","g__Coprobacillus","f__Erysipelatoclostridiaceae_g__Coprobacillus_56b61b7a91af3ead8aa36a4cf61724f9","Fermented"
"56b61b7a91af3ead8aa36a4cf61724f9","WO2",-6.76195634907099,0.44957257400941,131.519789078715,-7.65128537600837,-5.87262732213362,"f__Erysipelatoclostridiaceae","g__Coprobacillus","f__Erysipelatoclostridiaceae_g__Coprobacillus_56b61b7a91af3ead8aa36a4cf61724f9","Fermented"
"ac9784872d4398edb647d5adaf08f4a8","Base",-7.53012800904889,0.222907672157187,132.000000000001,-7.97106141719903,-7.08919460089876,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Fermented"
"ac9784872d4398edb647d5adaf08f4a8","FERM",-7.91621542262203,0.222907672157187,132,-8.35714883077216,-7.4752820144719,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Fermented"
"ac9784872d4398edb647d5adaf08f4a8","WO2",-7.91621542262203,0.222907672157187,132,-8.35714883077216,-7.4752820144719,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Fermented"
"b7db7f06d081c70ccc6b990ad2731917","Base",-7.22926471906778,0.277499664297745,132.000000000002,-7.77818648364948,-6.68034295448608,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_b7db7f06d081c70ccc6b990ad2731917","Fermented"
"b7db7f06d081c70ccc6b990ad2731917","FERM",-7.91621542262203,0.277499664297744,132,-8.46513718720373,-7.36729365804033,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_b7db7f06d081c70ccc6b990ad2731917","Fermented"
"b7db7f06d081c70ccc6b990ad2731917","WO2",-7.91621542262203,0.277499664297744,132,-8.46513718720373,-7.36729365804033,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_b7db7f06d081c70ccc6b990ad2731917","Fermented"
"be71cf3546f4dd3de3cccda869c2828f","Base",-7.54951005197021,0.211717444459114,132.000000000001,-7.96830808366992,-7.1307120202705,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Fermented"
"be71cf3546f4dd3de3cccda869c2828f","FERM",-7.91621542262203,0.211717444459113,132.000000000001,-8.33501345432174,-7.49741739092233,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Fermented"
"be71cf3546f4dd3de3cccda869c2828f","WO2",-7.91621542262203,0.211717444459113,132,-8.33501345432174,-7.49741739092233,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Fermented"
"f9b87c8f7a792d317365f3412cb54cd9","Base",-7.5797242925989,0.300414157433791,132.000000000001,-8.1739731895163,-6.98547539568151,"f__Peptostreptococcaceae","g__Romboutsia","f__Peptostreptococcaceae_g__Romboutsia_f9b87c8f7a792d317365f3412cb54cd9","Fermented"
"f9b87c8f7a792d317365f3412cb54cd9","FERM",-7.91621542262203,0.300414157433791,132,-8.51046431953942,-7.32196652570464,"f__Peptostreptococcaceae","g__Romboutsia","f__Peptostreptococcaceae_g__Romboutsia_f9b87c8f7a792d317365f3412cb54cd9","Fermented"
"f9b87c8f7a792d317365f3412cb54cd9","WO2",-7.34894958187425,0.300414157433791,132,-7.94319847879164,-6.75470068495686,"f__Peptostreptococcaceae","g__Romboutsia","f__Peptostreptococcaceae_g__Romboutsia_f9b87c8f7a792d317365f3412cb54cd9","Fermented"
"07b1149ccb783782ec4d38ecb1496c21","Base",-7.59137556773317,0.193128199722471,131.999999999999,-7.97340223594708,-7.20934889951926,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Microbiome"
"07b1149ccb783782ec4d38ecb1496c21","WO1",-7.9258834220268,0.193128199722471,132,-8.30791009024071,-7.54385675381289,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Microbiome"
"07b1149ccb783782ec4d38ecb1496c21","WO2",-7.9258834220268,0.193128199722471,132,-8.30791009024071,-7.54385675381289,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Microbiome"
"3773ea3e9a45529de94795ad903f3044","Base",-7.60002251055248,0.188135884958077,131.999999999996,-7.97217388671242,-7.22787113439254,"f__Pirellulaceae","g__CPla-4_termite_group","f__Pirellulaceae_g__CPla-4_termite_group_3773ea3e9a45529de94795ad903f3044","Microbiome"
"3773ea3e9a45529de94795ad903f3044","WO1",-7.9258834220268,0.188135884958077,132,-8.29803479818674,-7.55373204586686,"f__Pirellulaceae","g__CPla-4_termite_group","f__Pirellulaceae_g__CPla-4_termite_group_3773ea3e9a45529de94795ad903f3044","Microbiome"
"3773ea3e9a45529de94795ad903f3044","WO2",-7.9258834220268,0.188135884958077,132,-8.29803479818674,-7.55373204586686,"f__Pirellulaceae","g__CPla-4_termite_group","f__Pirellulaceae_g__CPla-4_termite_group_3773ea3e9a45529de94795ad903f3044","Microbiome"
"38c12f1a7ba71962a0ab012df0f7d005","Base",-7.60245153387023,0.186733487691706,132.000000000002,-7.97182882962164,-7.23307423811881,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Microbiome"
"38c12f1a7ba71962a0ab012df0f7d005","WO1",-7.9258834220268,0.186733487691706,132,-8.29526071777821,-7.55650612627538,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Microbiome"
"38c12f1a7ba71962a0ab012df0f7d005","WO2",-7.9258834220268,0.186733487691706,132,-8.29526071777821,-7.55650612627538,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Microbiome"
"40d7269d78874c56c8621deb61732635","Base",-7.49010129457927,0.251598928589856,132.000000000001,-7.98778884385221,-6.99241374530633,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Microbiome"
"40d7269d78874c56c8621deb61732635","WO1",-7.9258834220268,0.251598928589856,132,-8.42357097129974,-7.42819587275386,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Microbiome"
"40d7269d78874c56c8621deb61732635","WO2",-7.9258834220268,0.251598928589856,132,-8.42357097129974,-7.42819587275386,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Microbiome"
"521cf1c933ea1dda390abc8f73e54469","Base",-7.59834956666558,0.189101759561514,131.999999999995,-7.97241153826002,-7.22428759507113,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_521cf1c933ea1dda390abc8f73e54469","Microbiome"
"521cf1c933ea1dda390abc8f73e54469","WO1",-7.9258834220268,0.189101759561514,132,-8.29994539362125,-7.55182145043236,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_521cf1c933ea1dda390abc8f73e54469","Microbiome"
"521cf1c933ea1dda390abc8f73e54469","WO2",-7.9258834220268,0.189101759561514,132,-8.29994539362125,-7.55182145043236,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_521cf1c933ea1dda390abc8f73e54469","Microbiome"
"55d0524c2533fdee63a782163e995b8d","Base",-7.60807805612908,0.321683907472274,132.000000000001,-8.24440062096561,-6.97175549129255,"f__Lactobacillaceae","g__Ligilactobacillus","f__Lactobacillaceae_g__Ligilactobacillus_55d0524c2533fdee63a782163e995b8d","Microbiome"
"55d0524c2533fdee63a782163e995b8d","WO1",-7.9258834220268,0.321683907472274,132,-8.56220598686333,-7.28956085719027,"f__Lactobacillaceae","g__Ligilactobacillus","f__Lactobacillaceae_g__Ligilactobacillus_55d0524c2533fdee63a782163e995b8d","Microbiome"
"55d0524c2533fdee63a782163e995b8d","WO2",-7.27307638712409,0.321683907472274,132,-7.90939895196062,-6.63675382228755,"f__Lactobacillaceae","g__Ligilactobacillus","f__Lactobacillaceae_g__Ligilactobacillus_55d0524c2533fdee63a782163e995b8d","Microbiome"
"68d57be56fd6e12a28bad69cc3f4a45d","Base",-7.9258834220268,0.413794259719822,131.999999967388,-8.7444093679753,-7.1073574760783,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_68d57be56fd6e12a28bad69cc3f4a45d","Microbiome"
"68d57be56fd6e12a28bad69cc3f4a45d","WO1",5.41006585408441,0.413794259719822,131.999999967386,4.59153990813591,6.22859180003291,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_68d57be56fd6e12a28bad69cc3f4a45d","Microbiome"
"68d57be56fd6e12a28bad69cc3f4a45d","WO2",-7.9258834220268,0.413794259719822,131.999999967384,-8.7444093679753,-7.1073574760783,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_68d57be56fd6e12a28bad69cc3f4a45d","Microbiome"
"ac9784872d4398edb647d5adaf08f4a8","Base",-7.5417862927224,0.22175858099886,131.999999999998,-7.98044668498298,-7.10312590046182,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Microbiome"
"ac9784872d4398edb647d5adaf08f4a8","WO1",-7.9258834220268,0.22175858099886,132,-8.36454381428738,-7.48722302976622,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Microbiome"
"ac9784872d4398edb647d5adaf08f4a8","WO2",-7.9258834220268,0.22175858099886,132,-8.36454381428738,-7.48722302976622,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Microbiome"
"be71cf3546f4dd3de3cccda869c2828f","Base",-7.56907935824764,0.206000922270852,132.000000000001,-7.97656954402691,-7.16158917246836,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Microbiome"
"be71cf3546f4dd3de3cccda869c2828f","WO1",-7.9258834220268,0.206000922270852,132,-8.33337360780607,-7.51839323624753,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Microbiome"
"be71cf3546f4dd3de3cccda869c2828f","WO2",-7.9258834220268,0.206000922270852,132,-8.33337360780607,-7.51839323624753,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Microbiome"
"e6d8531f544476f4f04f923e93ba0527","Base",-7.9258834220268,0.30081028029519,131.999999999998,-8.52091588911759,-7.33085095493602,"f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003","f__Erysipelatoclostridiaceae_g__Erysipelotrichaceae_UCG-003_e6d8531f544476f4f04f923e93ba0527","Microbiome"
"e6d8531f544476f4f04f923e93ba0527","WO1",-7.00794471371154,0.30081028029519,132,-7.60297718080232,-6.41291224662075,"f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003","f__Erysipelatoclostridiaceae_g__Erysipelotrichaceae_UCG-003_e6d8531f544476f4f04f923e93ba0527","Microbiome"
"e6d8531f544476f4f04f923e93ba0527","WO2",-7.9258834220268,0.30081028029519,132,-8.52091588911759,-7.33085095493601,"f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003","f__Erysipelatoclostridiaceae_g__Erysipelotrichaceae_UCG-003_e6d8531f544476f4f04f923e93ba0527","Microbiome"
